MIC,ticker,CIK,ISIN,GICS Sector,GICS Industry
XNYS,WMB,0000107263,US9694571004,10,101020
XNYS,WMK,0000105418,US9488491047,30,301010
XNYS,WMT,0000104169,US9311421039,30,301010
XNYS,WST,0000105770,US9553061055,35,352030
XNYS,WWW,0000110471,US9780971035,25,252030
XNYS,WY,0000106535,US9621661043,60,601080
XNYS,LTC,0000887905,US5021751020,60,601050
XNGS,XRX,0001770450,US98421M1062,45,452020
XNYS,X,0001163302,US9129091081,15,151040
XNYS,EQR,0000906107,US29476L1070,60,601060
XNYS,CULP,0000723603,US2302151053,25,252030
XNYS,OPY,0000791963,US6837971042,40,402030
XNGS,CDNS,0000813672,US1273871087,45,451030
XNYS,TG,0000850429,US8946501009,15,151040
XNYS,NHI,0000877860,US63633D1046,60,601050
XNYS,EAT,0000703351,US1096411004,25,253010
XNYS,TLK,0001002486,US7156841063,50,501010
XNYS,BWA,0000908255,US0997241064,25,251010
XNYS,CCJ,0001009001,CA13321L1085,10,101020
XNYS,SCL,0000094049,US8585861003,15,151010
XNYS,GEO,0000923796,US36162J1060,20,202010
XNYS,NTZ,0000900391,US63905A2006,25,252010
XNYS,SNV,0000018349,US87161C5013,40,401010
XNYS,TCI,0000733590,US8936172092,60,602010
XNYS,EOG,0000821189,US26875P1012,10,101020
XNGS,WDC,0000106040,US9581021055,45,452020
XNYS,MGM,0000789570,US5529531015,25,253010
XNYS,SUP,0000095552,US8681681057,25,251010
XNYS,J,0000052988,US46982L1089,20,202020
XNYS,MLM,0000916076,US5732841060,15,151020
XNYS,NOV,0001021860,US62955J1034,10,101010
XNYS,HRL,0000048465,US4404521001,30,302020
XNYS,RHI,0000315213,US7703231032,20,202020
XNYS,GHC,0000104889,US3846371041,25,253020
XNYS,SUI,0000912593,US8666741041,60,601060
XNYS,CTRA,0000858470,US1270971039,10,101020
XNGS,MU,0000723125,US5951121038,45,453010
XNYS,MLI,0000089439,US6247561029,20,201060
XNYS,UHS,0000352915,US9139031002,35,351020
XNYS,BFS,0000907254,US8043951016,60,601070
XNYS,UDR,0000074208,US9026531049,60,601060
XNYS,TEX,0000097216,US8807791038,20,201060
XNYS,BF.B,0000014693,US1156372096,30,302010
XNYS,HAE,0000313143,US4050241003,35,351010
XNYS,BYD,0000906553,US1033041013,25,253010
XNYS,EL,0001001250,US5184391044,30,303020
XNYS,PSA,0001393311,US74460D1090,60,601080
XNGS,VOD,0000839923,US92857W3088,50,501020
XNYS,ETR,0000065984,US29364G1031,55,551010
XNYS,WAT,0001000697,US9418481035,35,352030
XNYS,RYN,0000052827,US7549071030,60,601080
XNYS,REX,0000744187,US7616241052,10,101020
XNYS,TTE,0000879764,US89151E1091,10,101020
XNYS,AEG,0000769218,US0076CA1045,40,403010
XNYS,IBN,0001103838,US45104G1040,40,401010
XNYS,FBP,0001057706,PR3186727065,40,401010
XNYS,WNC,0000879526,US9295661071,20,201060
XNYS,APH,0000820313,US0320951017,45,452030
XNYS,FMS,0001019600,US3580291066,35,351020
XNYS,HUBB,0000048898,US4435106079,20,201040
XNYS,KOF,0000910631,US1912411089,30,302010
XNYS,CCL,0000815097,PA1436583006,25,253010
XNYS,TFX,0000096943,US8793691069,35,351010
XNYS,RCL,0000884887,LR0008862868,25,253010
XNYS,OI,0000812074,US67098H1041,15,151030
XNGS,ODP,0000800240,US88337F1057,25,255040
XNYS,AGCO,0000880266,US0010841023,20,201060
XNYS,GVA,0000861459,US3873281071,20,201030
XNYS,ATGE,0000730464,US00737L1035,25,253020
XNYS,M,0000794367,US55616P1049,25,255030
